# nx=151 ny=115 xmin=-7.5 xmax=7.5 ymin=-5.7141016151377544 ymax=5.7141016151377544 z=0 component=ey freq=0.26000000000000001
x,y,re,im,abs
3.8741721854304636,-5.5650380947428566,0,0,0
3.9735099337748334,-5.5650380947428566,0,0,0
4.072847682119205,-5.5650380947428566,0,0,0
4.1721854304635748,-5.5650380947428566,0,0,0
4.2715231788079464,-5.5650380947428566,0,0,0
4.370860927152318,-5.5650380947428566,0,0,0
4.4701986754966878,-5.5650380947428566,0,0,0
4.5695364238410594,-5.5650380947428566,0,0,0
4.6688741721854292,-5.5650380947428566,0,0,0
4.7682119205298008,-5.5650380947428566,0,0,0
4.8675496688741706,-5.5650380947428566,0,0,0
4.9668874172185422,-5.5650380947428566,0,0,0
5.0662251655629138,-5.5650380947428566,0,0,0
5.1655629139072836,-5.5650380947428566,0,0,0
5.2649006622516552,-5.5650380947428566,0,0,0
5.364238410596025,-5.5650380947428566,0,0,0
5.4635761589403966,-5.5650380947428566,0,0,0
5.5629139072847682,-5.5650380947428566,0,0,0
5.662251655629138,-5.5650380947428566,0,0,0
5.7615894039735096,-5.5650380947428566,0,0,0
5.8609271523178794,-5.5650380947428566,0,0,0
5.960264900662251,-5.5650380947428566,0,0,0
6.0596026490066208,-5.5650380947428566,0,0,0
6.1589403973509924,-5.5650380947428566,0,0,0
6.258278145695364,-5.5650380947428566,0,0,0
6.3576158940397338,-5.5650380947428566,0,0,0
6.4569536423841054,-5.5650380947428566,0,0,0
6.5562913907284752,-5.5650380947428566,0,0,0
6.6556291390728468,-5.5650380947428566,0,0,0
6.7549668874172184,-5.5650380947428566,0,0,0
6.8543046357615882,-5.5650380947428566,0,0,0
6.9536423841059598,-5.5650380947428566,0,0,0
7.0529801324503296,-5.5650380947428566,0,0,0
7.1523178807947012,-5.5650380947428566,0,0,0
7.2516556291390728,-5.5650380947428566,0,0,0
7.3509933774834426,-5.5650380947428566,0,0,0
7.4503311258278142,-5.5650380947428566,0,0,0
-7.4503311258278142,-5.4656624144795911,0,0,0
-7.3509933774834435,-5.4656624144795911,0,0,0
-7.2516556291390728,-5.4656624144795911,0,0,0
-7.1523178807947021,-5.4656624144795911,0,0,0
-7.0529801324503314,-5.4656624144795911,0,0,0
-6.9536423841059598,-5.4656624144795911,0,0,0
-6.8543046357615891,-5.4656624144795911,0,0,0
-6.7549668874172184,-5.4656624144795911,0,0,0
-6.6556291390728477,-5.4656624144795911,0,0,0
-6.556291390728477,-5.4656624144795911,0,0,0
-6.4569536423841063,-5.4656624144795911,0,0,0
-6.3576158940397356,-5.4656624144795911,0,0,0
-6.258278145695364,-5.4656624144795911,0,0,0
-6.1589403973509933,-5.4656624144795911,0,0,0
-6.0596026490066226,-5.4656624144795911,0,0,0
-5.9602649006622519,-5.4656624144795911,0,0,0
-5.8609271523178812,-5.4656624144795911,0,0,0
-5.7615894039735096,-5.4656624144795911,0,0,0
-5.6622516556291389,-5.4656624144795911,0,0,0
-5.5629139072847682,-5.4656624144795911,0,0,0
-5.4635761589403975,-5.4656624144795911,0,0,0
-5.3642384105960268,-5.4656624144795911,0,0,0
-5.2649006622516552,-5.4656624144795911,0,0,0
-5.1655629139072854,-5.4656624144795911,0,0,0
-5.0662251655629138,-5.4656624144795911,0,0,0
-4.9668874172185431,-5.4656624144795911,0,0,0
-4.8675496688741724,-5.4656624144795911,0,0,0
-4.7682119205298017,-5.4656624144795911,0,0,0
-4.668874172185431,-5.4656624144795911,0,0,0
-4.5695364238410594,-5.4656624144795911,0,0,0
-4.4701986754966896,-5.4656624144795911,0,0,0
-4.370860927152318,-5.4656624144795911,0,0,0
-4.2715231788079473,-5.4656624144795911,0,0,0
-4.1721854304635766,-5.4656624144795911,0,0,0
-4.072847682119205,-5.4656624144795911,0,0,0
-3.9735099337748347,-5.4656624144795911,0,0,0
-3.8741721854304636,-5.4656624144795911,0,0,0
-3.7748344370860929,-5.4656624144795911,0,0,0
-3.6754966887417222,-5.4656624144795911,0,0,0
-3.576158940397351,-5.4656624144795911,0,0,0
-3.4768211920529808,-5.4656624144795911,0,0,0
-3.3774834437086092,-5.4656624144795911,0,0,0
-3.2781456953642385,-5.4656624144795911,0,0,0
-3.1788079470198678,-5.4656624144795911,0,0,0
-3.0794701986754971,-5.4656624144795911,0,0,0
-2.9801324503311264,-5.4656624144795911,0,0,0
-2.8807947019867557,-5.4656624144795911,0,0,0
-2.7814569536423841,-5.4656624144795911,0,0,0
-2.6821192052980134,-5.4656624144795911,0,0,0
-2.5827814569536427,-5.4656624144795911,0,0,0
-2.483443708609272,-5.4656624144795911,0,0,0
-2.3841059602649013,-5.4656624144795911,0,0,0
-2.2847682119205297,-5.4656624144795911,0,0,0
-2.185430463576159,-5.4656624144795911,0,0,0
-2.0860927152317883,-5.4656624144795911,0,0,0
-1.9867549668874176,-5.4656624144795911,0,0,0
-1.8874172185430469,-5.4656624144795911,0,0,0
-1.7880794701986762,-5.4656624144795911,0,0,0
-1.6887417218543046,-5.4656624144795911,0,0,0
-1.5894039735099339,-5.4656624144795911,0,0,0
-1.4900662251655632,-5.4656624144795911,0,0,0
-1.3907284768211925,-5.4656624144795911,0,0,0
-1.2913907284768218,-5.4656624144795911,0,0,0
-1.1920529801324511,-5.4656624144795911,0,0,0
-1.0927152317880795,-5.4656624144795911,0,0,0
-0.9933774834437088,-5.4656624144795911,0,0,0
-0.8940397350993381,-5.4656624144795911,0,0,0
-0.79470198675496739,-5.4656624144795911,0,0,0
-0.69536423841059669,-5.4656624144795911,0,0,0
-0.59602649006622599,-5.4656624144795911,0,0,0
-0.4966887417218544,-5.4656624144795911,0,0,0
-0.3973509933774837,-5.4656624144795911,0,0,0
-0.29801324503311299,-5.4656624144795911,0,0,0
-0.19867549668874229,-5.4656624144795911,0,0,0
-0.09933774834437159,-5.4656624144795911,0,0,0
-8.8817841970012523e-16,-5.4656624144795911,0,0,0
0.099337748344370702,-5.4656624144795911,0,0,0
0.1986754966887414,-5.4656624144795911,0,0,0
0.29801324503311211,-5.4656624144795911,0,0,0
0.39735099337748281,-5.4656624144795911,0,0,0
0.49668874172185351,-5.4656624144795911,0,0,0
0.59602649006622421,-5.4656624144795911,0,0,0
0.6953642384105958,-5.4656624144795911,0,0,0
0.79470198675496562,-5.4656624144795911,0,0,0
0.89403973509933721,-5.4656624144795911,0,0,0
0.9933774834437088,-5.4656624144795911,0,0,0
1.0927152317880786,-5.4656624144795911,0,0,0
1.1920529801324502,-5.4656624144795911,0,0,0
1.29139072847682,-5.4656624144795911,0,0,0
1.3907284768211916,-5.4656624144795911,0,0,0
1.4900662251655632,-5.4656624144795911,0,0,0
1.589403973509933,-5.4656624144795911,0,0,0
1.6887417218543046,-5.4656624144795911,0,0,0
1.7880794701986744,-5.4656624144795911,0,0,0
1.887417218543046,-5.4656624144795911,0,0,0
1.9867549668874158,-5.4656624144795911,0,0,0
2.0860927152317874,-5.4656624144795911,0,0,0
2.185430463576159,-5.4656624144795911,0,0,0
2.2847682119205288,-5.4656624144795911,0,0,0
2.3841059602649004,-5.4656624144795911,0,0,0
2.4834437086092702,-5.4656624144795911,0,0,0
2.5827814569536418,-5.4656624144795911,0,0,0
2.6821192052980134,-5.4656624144795911,0,0,0
2.7814569536423832,-5.4656624144795911,0,0,0
2.8807947019867548,-5.4656624144795911,0,0,0
2.9801324503311246,-5.4656624144795911,0,0,0
3.0794701986754962,-5.4656624144795911,0,0,0
3.178807947019866,-5.4656624144795911,0,0,0
3.2781456953642376,-5.4656624144795911,0,0,0
3.3774834437086092,-5.4656624144795911,0,0,0
3.476821192052979,-5.4656624144795911,0,0,0
3.5761589403973506,-5.4656624144795911,0,0,0
3.6754966887417204,-5.4656624144795911,0,0,0
3.774834437086092,-5.4656624144795911,0,0,0
3.8741721854304636,-5.4656624144795911,0,0,0
3.9735099337748334,-5.4656624144795911,0,0,0
4.072847682119205,-5.4656624144795911,0,0,0
4.1721854304635748,-5.4656624144795911,0,0,0
4.2715231788079464,-5.4656624144795911,0,0,0
4.370860927152318,-5.4656624144795911,0,0,0
4.4701986754966878,-5.4656624144795911,0,0,0
4.5695364238410594,-5.4656624144795911,0,0,0
4.6688741721854292,-5.4656624144795911,0,0,0
4.7682119205298008,-5.4656624144795911,0,0,0
4.8675496688741706,-5.4656624144795911,0,0,0
4.9668874172185422,-5.4656624144795911,0,0,0
5.0662251655629138,-5.4656624144795911,0,0,0
5.1655629139072836,-5.4656624144795911,0,0,0
5.2649006622516552,-5.4656624144795911,0,0,0
5.364238410596025,-5.4656624144795911,0,0,0
5.4635761589403966,-5.4656624144795911,0,0,0
5.5629139072847682,-5.4656624144795911,0,0,0
5.662251655629138,-5.4656624144795911,0,0,0
5.7615894039735096,-5.4656624144795911,0,0,0
5.8609271523178794,-5.4656624144795911,0,0,0
5.960264900662251,-5.4656624144795911,0,0,0
6.0596026490066208,-5.4656624144795911,0,0,0
6.1589403973509924,-5.4656624144795911,0,0,0
6.258278145695364,-5.4656624144795911,0,0,0
6.3576158940397338,-5.4656624144795911,0,0,0
6.4569536423841054,-5.4656624144795911,0,0,0
6.5562913907284752,-5.4656624144795911,0,0,0
6.6556291390728468,-5.4656624144795911,0,0,0
6.7549668874172184,-5.4656624144795911,0,0,0
6.8543046357615882,-5.4656624144795911,0,0,0
6.9536423841059598,-5.4656624144795911,0,0,0
7.0529801324503296,-5.4656624144795911,0,0,0
7.1523178807947012,-5.4656624144795911,0,0,0
7.2516556291390728,-5.4656624144795911,0,0,0
7.3509933774834426,-5.4656624144795911,0,0,0
7.4503311258278142,-5.4656624144795911,0,0,0
-7.4503311258278142,-5.3662867342163256,0,0,0
-7.3509933774834435,-5.3662867342163256,0,0,0
-7.2516556291390728,-5.3662867342163256,0,0,0
-7.1523178807947021,-5.3662867342163256,0,0,0
-7.0529801324503314,-5.3662867342163256,0,0,0
-6.9536423841059598,-5.3662867342163256,0,0,0
-6.8543046357615891,-5.3662867342163256,0,0,0
-6.7549668874172184,-5.3662867342163256,0,0,0
-6.6556291390728477,-5.3662867342163256,0,0,0
-6.556291390728477,-5.3662867342163256,0,0,0
-6.4569536423841063,-5.3662867342163256,0,0,0
-6.3576158940397356,-5.3662867342163256,0,0,0
-6.258278145695364,-5.3662867342163256,0,0,0
-6.1589403973509933,-5.3662867342163256,0,0,0
-6.0596026490066226,-5.3662867342163256,0,0,0
-5.9602649006622519,-5.3662867342163256,0,0,0
-5.8609271523178812,-5.3662867342163256,0,0,0
-5.7615894039735096,-5.3662867342163256,0,0,0
-5.6622516556291389,-5.3662867342163256,0,0,0
-5.5629139072847682,-5.3662867342163256,0,0,0
-5.4635761589403975,-5.3662867342163256,0,0,0
-5.3642384105960268,-5.3662867342163256,0,0,0
-5.2649006622516552,-5.3662867342163256,0,0,0
-5.1655629139072854,-5.3662867342163256,0,0,0
-5.0662251655629138,-5.3662867342163256,0,0,0
-4.9668874172185431,-5.3662867342163256,0,0,0
-4.8675496688741724,-5.3662867342163256,0,0,0
-4.7682119205298017,-5.3662867342163256,0,0,0
-4.668874172185431,-5.3662867342163256,0,0,0
-4.5695364238410594,-5.3662867342163256,0,0,0
-4.4701986754966896,-5.3662867342163256,0,0,0
-4.370860927152318,-5.3662867342163256,0,0,0
-4.2715231788079473,-5.3662867342163256,0,0,0
-4.1721854304635766,-5.3662867342163256,0,0,0
-4.072847682119205,-5.3662867342163256,0,0,0
-3.9735099337748347,-5.3662867342163256,0,0,0
-3.8741721854304636,-5.3662867342163256,0,0,0
-3.7748344370860929,-5.3662867342163256,0,0,0
-3.6754966887417222,-5.3662867342163256,0,0,0
-3.576158940397351,-5.3662867342163256,0,0,0
-3.4768211920529808,-5.3662867342163256,0,0,0
-3.3774834437086092,-5.3662867342163256,0,0,0
-3.2781456953642385,-5.3662867342163256,0,0,0
-3.1788079470198678,-5.3662867342163256,0,0,0
-3.0794701986754971,-5.3662867342163256,0,0,0
-2.9801324503311264,-5.3662867342163256,0,0,0
-2.8807947019867557,-5.3662867342163256,0,0,0
-2.7814569536423841,-5.3662867342163256,0,0,0
-2.6821192052980134,-5.3662867342163256,0,0,0
-2.5827814569536427,-5.3662867342163256,0,0,0
-2.483443708609272,-5.3662867342163256,0,0,0
-2.3841059602649013,-5.3662867342163256,0,0,0
-2.2847682119205297,-5.3662867342163256,0,0,0
-2.185430463576159,-5.3662867342163256,0,0,0
-2.0860927152317883,-5.3662867342163256,0,0,0
-1.9867549668874176,-5.3662867342163256,0,0,0
-1.8874172185430469,-5.3662867342163256,0,0,0
-1.7880794701986762,-5.3662867342163256,0,0,0
-1.6887417218543046,-5.3662867342163256,0,0,0
-1.5894039735099339,-5.3662867342163256,0,0,0
-1.4900662251655632,-5.3662867342163256,0,0,0
-1.3907284768211925,-5.3662867342163256,0,0,0
-1.2913907284768218,-5.3662867342163256,0,0,0
-1.1920529801324511,-5.3662867342163256,0,0,0
-1.0927152317880795,-5.3662867342163256,0,0,0
-0.9933774834437088,-5.3662867342163256,0,0,0
-0.8940397350993381,-5.3662867342163256,0,0,0
-0.79470198675496739,-5.3662867342163256,0,0,0
-0.69536423841059669,-5.3662867342163256,0,0,0
-0.59602649006622599,-5.3662867342163256,0,0,0
-0.4966887417218544,-5.3662867342163256,0,0,0
-0.3973509933774837,-5.3662867342163256,0,0,0
-0.29801324503311299,-5.3662867342163256,0,0,0
-0.19867549668874229,-5.3662867342163256,0,0,0
-0.09933774834437159,-5.3662867342163256,0,0,0
-8.8817841970012523e-16,-5.3662867342163256,0,0,0
0.099337748344370702,-5.3662867342163256,0,0,0
0.1986754966887414,-5.3662867342163256,0,0,0
0.29801324503311211,-5.3662867342163256,0,0,0
0.39735099337748281,-5.3662867342163256,0,0,0
0.49668874172185351,-5.3662867342163256,0,0,0
0.59602649006622421,-5.3662867342163256,0,0,0
0.6953642384105958,-5.3662867342163256,0,0,0
